V838-Mon is a ILRT
TCPJ17344775-2409042 is a Varstar
TCPJ13535979-0755079 is a Other
SSS130402-141135-282828 is a Varstar
SSS130329-111742-203116 is a Varstar
SSS130312-140859-165709 is a Varstar
SSS130311-130508-375705 is a SN Ia
SSS130311-111518-452917 is a Varstar
SSS130307-114002-350527 is a SN IIP
SSS130307-100006-341401 is a SN Ia
SSS130304-114144-171349 is a SN Ia
SSS130304-102431-192214 is a Other
SSS130304-055628-172343 is a CV
SSS130221-133330-194457 is a SN IIn
SSS120817-002822-305723 is a SN Ia
SSS120816-012937-175040 is a SN Ia
SSS120814-221352-124146 is a SN Ia
SSS120810-231802-560926 is a SLSN-I
SSS120807-233315-330852 is a SN IIP
SSS120420-204522-504405 is a SN Ia
SSS120416-211543-192250 is a SN Ia
SNnearNGC1082 is a SN Ia
SNLS06D1hc is a SN
SNLS05D2bk is a SN
SNLS04D4ec is a SN
SNLS-08D3hh is a SN Ia
SNLS-08D3gu is a SN Ia
SNLS-08D3gf is a SN Ia
SNLS-08D3gb is a SN Ia
SNLS-08D3dx is a SN Ia
SNLS-08D3dc is a SN Ia
SNLS-08D3bh is a SN Ia
SNLS-08D2kj is a SN Ia
SNLS-08D2iq is a SN Ia
SNLS-08D2id is a SN Ia
SNLS-08D2hw is a SN Ia
SNLS-08D2gw is a SN Ia
SNLS-08D2dz is a SN Ia
SNLS-08D2dr is a SN Ia
SNLS-08D2cl is a SN Ia
SNLS-08D2ch is a SN Ia
SNLS-08D2bj is a SN Ia
SNLS-08D2ad is a SN Ia
SNLS-08D2aa is a SN Ia
SNLS-08D1aa is a SN Ia
SNLS-07D4fl is a SN Ia
SNLS-07D3it is a SN Ia
SNLS-07D3ib is a SN Ia
SNLS-07D3hz is a SN Ia
SNLS-07D3hw is a SN Ia
SNLS-07D3hv is a SN Ia
SNLS-07D3hu is a SN Ia
SNLS-07D3hl is a SN Ia
SNLS-07D3gm is a SN Ia
SNLS-07D3fi is a SN
SNLS-07D3ey is a SN Ia
SNLS-07D3ea is a SN Ia
SNLS-07D3do is a SN Ia
SNLS-07D3dj is a SN Ia
SNLS-07D3da is a SN Ia
SNLS-07D3cu is a SN Ia
SNLS-07D3cr is a SN Ia
SNLS-07D3cn is a SN Ia
SNLS-07D3bt is a SN Ia
SNLS-07D3bo is a SN Ia
SNLS-07D3ap is a SN Ia
SNLS-07D3af is a SN Ia
SNLS-07D3ae is a SN Ia
SNLS-07D2bv is a SLSN-I
SNLS-06D4fy is a SN Ia
SNLS-06D4fc is a SN Ia
SNLS-06D4eu is a SLSN-I
SNLS-06D4dr is a SN Ia
SNLS-06D4dh is a SN Ia
SNLS-06D4cq is a SN Ia
SNLS-06D4co is a SN Ia
SNLS-06D4cl is a SN Ia
SNLS-06D4ce is a SN Ia
SNLS-06D3gx is a SN Ia
SNLS-06D3gn is a SN Ia
